,Loading
Date,0.9999065635425713
Athlete ID,0.013642122715497824
perceived trainingSuccess.3,0.00024053282780430094
perceived trainingSuccess.6,0.00023981202592805685
perceived trainingSuccess.4,0.00023964611134644356
perceived trainingSuccess.2,0.00023946039390907885
perceived trainingSuccess,0.0002392621351030021
perceived trainingSuccess.5,0.00023857741893179273
perceived trainingSuccess.1,0.0002370075693672252
total km.1,0.00018400750965831626
total km.2,0.00015158984469061266
total km,0.00015152937113460663
total km.5,0.0001377722307021101
total km.4,0.00012810052234788418
perceived exertion.4,0.0001248750714701567
perceived exertion.2,0.0001246057340430671
perceived exertion.3,0.00012441378854869534
perceived exertion.6,0.00012433412142096026
perceived exertion,0.0001237224039162167
perceived exertion.5,0.00012346454296490068
perceived exertion.1,0.00012230308907482953
total km.6,0.00011796964518919384
total km.3,0.0001123442957369769
perceived recovery.3,8.212355179359587e-05
perceived recovery.6,8.196417344638809e-05
perceived recovery.4,8.180694191405729e-05
perceived recovery.2,8.118231851914474e-05
perceived recovery.5,8.08792430818968e-05
perceived recovery,8.056036141138244e-05
perceived recovery.1,8.03189265994835e-05
km Z3-4.3,7.807193346593204e-05
km Z3-4.2,7.37347365904039e-05
km Z3-4.4,6.673388977863696e-05
km Z3-4.6,6.2215878307074e-05
km Z3-4.1,6.159906706498397e-05
km Z3-4.5,6.142585682710165e-05
km Z3-4,5.8635943400497936e-05
nr. sessions.6,3.727667486434607e-05
nr. sessions.4,3.58139371929018e-05
hours alternative.1,3.555743292479117e-05
hours alternative.6,3.5412159737916856e-05
hours alternative,3.477974610712156e-05
nr. sessions.3,3.425801846485758e-05
nr. sessions.5,3.4252236697410244e-05
hours alternative.4,3.345640458945587e-05
hours alternative.2,3.341715964450159e-05
hours alternative.3,3.341188532111226e-05
nr. sessions,3.245047674237549e-05
km sprinting.3,3.24352438731029e-05
hours alternative.5,3.2405786737724595e-05
km sprinting.2,3.171553217003335e-05
km Z5-T1-T2.5,3.1670803807177455e-05
km sprinting.5,3.086036761672395e-05
km sprinting,3.076705963302528e-05
nr. sessions.2,3.0465220181576026e-05
km Z5-T1-T2.3,2.990256039558771e-05
nr. sessions.1,2.9625401719014114e-05
km sprinting.1,2.9565421590794755e-05
km Z5-T1-T2.1,2.9458997520665114e-05
km sprinting.6,2.9418400122147124e-05
km Z5-T1-T2.4,2.9116399376626558e-05
km sprinting.4,2.873483088181567e-05
km Z5-T1-T2,2.704722867187821e-05
km Z5-T1-T2.2,2.3562717078948875e-05
km Z5-T1-T2.6,2.008625136462825e-05
strength training.5,1.831504553432496e-05
strength training.4,1.800439674511816e-05
strength training.6,1.7236392452617894e-05
strength training,1.667218363438517e-05
strength training.3,1.6665625744569706e-05
strength training.1,1.5517272260753477e-05
strength training.2,1.4994888942624012e-05
