,nr. sessions,nr. rest days,total kms,max km one day,total km Z3-Z4-Z5-T1-T2,"nr. tough sessions (effort in Z5, T1 or T2)",nr. days with interval session,total km Z3-4,max km Z3-4 one day,total km Z5-T1-T2,max km Z5-T1-T2 one day,total hours alternative training,nr. strength trainings,avg exertion,min exertion,max exertion,avg training success,min training success,max training success,avg recovery,min recovery,max recovery,nr. sessions.1,nr. rest days.1,total kms.1,max km one day.1,total km Z3-Z4-Z5-T1-T2.1,"nr. tough sessions (effort in Z5, T1 or T2).1",nr. days with interval session.1,total km Z3-4.1,max km Z3-4 one day.1,total km Z5-T1-T2.1,max km Z5-T1-T2 one day.1,total hours alternative training.1,nr. strength trainings.1,avg exertion.1,min exertion.1,max exertion.1,avg training success.1,min training success.1,max training success.1,avg recovery.1,min recovery.1,max recovery.1,nr. sessions.2,nr. rest days.2,total kms.2,max km one day.2,total km Z3-Z4-Z5-T1-T2.2,"nr. tough sessions (effort in Z5, T1 or T2).2",nr. days with interval session.2,total km Z3-4.2,max km Z3-4 one day.2,total km Z5-T1-T2.2,max km Z5-T1-T2 one day.2,total hours alternative training.2,nr. strength trainings.2,avg exertion.2,min exertion.2,max exertion.2,avg training success.2,min training success.2,max training success.2,avg recovery.2,min recovery.2,max recovery.2,Athlete ID,injury,rel total kms week 0_1,rel total kms week 0_2,rel total kms week 1_2,Date
nr. sessions,1.0,-0.9067860768641337,0.6565221515153263,0.5309031248006785,0.5007788277963178,0.3443343603440148,0.509276244325342,0.3313205016239679,0.32709646438108064,0.35550075737513775,0.35183201442868856,0.2378803166256717,0.41389530461655805,0.2558124354600193,0.11510400959498844,0.30945371417273754,0.23500268787303838,0.17320613459149808,0.24759436170925364,0.23050055370823486,0.14465365982654801,0.26854170815300143,0.6763931806665779,-0.6279835814829402,0.48795719186052616,0.426449420981024,0.3667307065654199,0.24265035980973637,0.35937048801927274,0.24318261466391194,0.25299518972191026,0.2707677849015239,0.2857459964224945,0.14289844154472073,0.28530136223712044,0.20776846173403904,0.11429241111049104,0.2414724173367165,0.2046213944497081,0.16852975519068106,0.20774894745389716,0.19928193864485733,0.14650321585956633,0.21272552160931385,0.5655281900921163,-0.5303316891219859,0.42483839783461536,0.368718740608389,0.32535724611895206,0.19848719705121415,0.3061761532862275,0.2247139830877722,0.23401705343572837,0.23915554883768506,0.2543426900595582,0.12277905962935437,0.24253684896454394,0.17273356888256253,0.104311392645885,0.19901582727543124,0.17674011787519217,0.1427971902092131,0.17857981798656752,0.17364194414463038,0.1322176737901579,0.1812257638796005,-0.020746619126676805,0.02938066275188723,-0.030347464005429137,0.01250248067929298,-0.006580739557907466,0.07354025903865122
nr. rest days,-0.9067860768641337,1.0,-0.6057711518048138,-0.49534243073376805,-0.4887432448517974,-0.3773363510387126,-0.5416606585515834,-0.3147449911633683,-0.31883463734235173,-0.35314617862347625,-0.35326689578692244,-0.17206626510172862,-0.36074773370935886,-0.30251976141489456,-0.13744291815110282,-0.3692690810480677,-0.2797828705595625,-0.19758568078472094,-0.2994746951991819,-0.29327700011476177,-0.1887923529904533,-0.33890787729368976,-0.6250040689923371,0.6658468454839171,-0.45009031568968677,-0.4064057906355721,-0.3567430478943097,-0.2733019620373123,-0.386920585330876,-0.22701660579180444,-0.24211037214105413,-0.2697646568234986,-0.2835354734042833,-0.08628799087081988,-0.25278603503451397,-0.2606579059939402,-0.15627727860459956,-0.29317410006725275,-0.24267400400925473,-0.1965125625976964,-0.24882956917311128,-0.2552340247923961,-0.19372153650075902,-0.26848265244471137,-0.5314657288080041,0.5583007394875935,-0.39684145344827565,-0.35565069127796467,-0.3141000533813124,-0.2282443200165969,-0.3300868387867184,-0.20565843375786538,-0.21962790686459355,-0.24011049548687166,-0.25291088385036875,-0.06458435264077393,-0.21738754158104245,-0.22318925770980663,-0.1443232170345475,-0.2461971120892769,-0.21023696640462905,-0.1676364224974664,-0.21463412600635093,-0.22440189538461075,-0.1748348559591163,-0.23208099221916795,-0.006944555818170857,-0.03284573124691,0.03195873541762804,-0.004969759166959123,0.011206668136315632,-0.10541949164704484
total kms,0.6565221515153263,-0.6057711518048138,1.0,0.8684488053106136,0.7307472308614583,0.3480231534035066,0.6068130777840659,0.5439938223434551,0.5362114620152186,0.46387661497122407,0.4845386708319905,-0.20911460941624802,0.0231776385633393,0.05679937689155249,-0.0011117946226339873,0.11309969274843237,0.08254383054650226,0.03909862654498531,0.09097386426390308,0.09297800112221927,0.04217321398850619,0.12754146906659392,0.5134865807102614,-0.4748793190221915,0.8118897867874423,0.7225249073348097,0.5803027559869525,0.2779201588260223,0.4791163197492121,0.4305857765328129,0.4356633021825721,0.38487558780054676,0.41967164174188964,-0.18502644616305935,-0.005487582194602684,0.02675969728527651,-0.015245321807217516,0.08050562557716741,0.067997041867824,0.03487222308979516,0.0727405282391482,0.08083749899106868,0.04243318303863905,0.10346171321448189,0.45230192929062724,-0.42109371890739794,0.7462997657555888,0.6664300851734385,0.5297368343679737,0.24206771603067748,0.4299857635110768,0.40220175019820276,0.41215731370859615,0.3492958486392287,0.3857402420990159,-0.16443185755688855,-0.02412712685825721,0.012580277467519935,-0.01623932689283275,0.06130868384502483,0.05931273352371178,0.030418201441997087,0.06165368749417349,0.06815612546459768,0.03795474421148216,0.0849932484726195,-0.07169183983639267,0.0073500552718006144,-0.018340678896759607,0.017213137811024643,0.00779435479916704,-0.026571351048920444
max km one day,0.5309031248006785,-0.49534243073376805,0.8684488053106136,1.0,0.6463175168616687,0.27181202187151793,0.498366711018745,0.4859877414783291,0.5104581199234566,0.39355497593072164,0.4325216147561306,-0.16899621773408954,0.01396557764855318,0.092638728884412,0.03319896781332487,0.14015545051918554,0.12207394036721136,0.07451882673966335,0.13353727497135146,0.12757453795155332,0.06673639799349569,0.1598211659202038,0.46092129671417875,-0.43908297214848574,0.7391963005662764,0.740157416275353,0.5260747534909154,0.2429337089207944,0.43220603740745556,0.3927310148333088,0.4025337796565362,0.3332580214885365,0.36306772384629654,-0.1502862934920086,0.004273597994555577,0.05769474681483586,0.007369841857277577,0.10866779763427195,0.10319505059423469,0.06000603952377625,0.11287392289994302,0.10916528524088355,0.05661543505050738,0.13695059234119789,0.40638176632274897,-0.38700548536755436,0.6867316022249779,0.6928813348633414,0.4944675156113081,0.21315740921889745,0.39262725734759324,0.37070351650464123,0.38170802485211475,0.31440325931543744,0.3453397948507832,-0.1371989835148714,-0.010139583781188847,0.045357857570394844,0.00824158858637637,0.08891483865458485,0.09519983758514758,0.060433825200841756,0.1008679901192327,0.09677275362659839,0.05270451072693062,0.11826714054250319,-0.03624529753717951,0.00978735850244175,0.004339655542379335,0.02036376793214016,0.017496532012954036,-0.009970500400455053
total km Z3-Z4-Z5-T1-T2,0.5007788277963178,-0.4887432448517974,0.7307472308614583,0.6463175168616687,1.0,0.40800668125184997,0.7588037975739933,0.7398932891044557,0.7201116667106194,0.5911276644078529,0.6030365442871635,-0.16732883801114112,0.07589995522939404,0.10773027488564418,0.047472850419409865,0.13541062578645735,0.07194391394183113,0.03442860266250223,0.07858505195926573,0.07731943293904392,0.03475687830964905,0.1117408303116293,0.40947722181039053,-0.3988999347308821,0.6000873206503656,0.5245977019205367,0.571562237601459,0.2718557589003396,0.4765502267831531,0.4034588410598029,0.41076569877972213,0.37070140522451067,0.40039229501273954,-0.14731331408657727,0.03878183563087596,0.05221676473164289,0.013606910362715916,0.08578325193570899,0.06406421542760575,0.04255890926684762,0.06485343137392917,0.0660756513766061,0.03706357800965087,0.08564065217919983,0.35735791573869746,-0.3464622532845237,0.5455426424037758,0.4897427107762819,0.5244193006789021,0.23591654848839497,0.4223466589044461,0.37438492635520776,0.38840636290439523,0.33820857037266666,0.37228530346216204,-0.12020393027217122,0.019809072401013213,0.043489522239136186,0.0185253809788473,0.07312731156367576,0.05658642957630589,0.03697697115975702,0.05534956128606572,0.061165130792392136,0.04072821381347287,0.0754757371342265,-0.058709218375737574,0.027755136946649283,-0.034946419822566854,-0.016180895211772305,-0.0006206513559505331,0.0003641774925163866
"nr. tough sessions (effort in Z5, T1 or T2)",0.3443343603440148,-0.3773363510387126,0.3480231534035066,0.27181202187151793,0.40800668125184997,1.0,0.6787622936212859,-0.13064980196329526,-0.060964133520577696,0.7909700125108379,0.6825431592565943,-0.17834436059821288,0.07361899355099566,0.16885561456640127,0.08009592914740508,0.18254220507935753,0.017086783758260112,-0.020741264667802812,0.02979215514966626,0.1266528590079678,0.09736352822759017,0.13036156567187293,0.3064915648378591,-0.32849070008857484,0.31639869047383423,0.260148889115707,0.30166299004177566,0.6016501994984107,0.4658435894729569,-0.00891339667983518,0.03899991638576474,0.48070437408086636,0.4624502660470865,-0.15945058737164539,0.07442644347606585,0.13238874539594825,0.07641951245617758,0.1401593729686738,0.013236846928215027,-0.011771200074537804,0.020805642610126542,0.1255101288611988,0.10745830469261465,0.12390801418185227,0.2924191849868138,-0.31029941937869543,0.301040155944309,0.2517577004912446,0.3014945788623149,0.5538432496384037,0.443408134871827,0.01676742734686808,0.06366710781679621,0.45615736762482717,0.4469849454891459,-0.14431541085777028,0.06961746965323852,0.12488325723665854,0.0804718740519368,0.13046716750165255,0.009325293485981892,-0.009629101808408834,0.014837910136977345,0.1231495764750949,0.10727656559890461,0.11947811967175531,-0.06630163234096953,0.024211803344303458,-0.061929850009183024,-0.06021747614231181,-0.04205347355410489,-0.054166840646871724
nr. days with interval session,0.509276244325342,-0.5416606585515834,0.6068130777840659,0.498366711018745,0.7588037975739933,0.6787622936212859,1.0,0.5214023753494444,0.48265206160633856,0.5504798518817703,0.5138549413135036,-0.21554030538978367,0.07064955129560943,0.15855266860965148,0.08661176549903861,0.17573033936698138,0.04065252788965687,-0.006792861042399974,0.05504929095110775,0.11827643853225997,0.07766207311220064,0.14046603685875453,0.41308110967557815,-0.4380795372885194,0.49983142041818335,0.4363113383942678,0.4726652247689561,0.43183464158031176,0.61784954251683,0.31102237191043985,0.32109789991015236,0.3687198619825356,0.383558286606032,-0.1895456071751958,0.043562126115294426,0.10288309974226785,0.0612445288744359,0.12249901326173714,0.03432623455165599,0.007825797841766673,0.04059813156970357,0.1069149947726461,0.08378782879688859,0.11605383797473652,0.3682180020945527,-0.39236054515613317,0.45390941192843015,0.40632866176137,0.4364395213209226,0.38744922429517153,0.560788409993419,0.2951639632437826,0.3091275544828109,0.33987396866806147,0.3568389597530387,-0.1654114759457907,0.03315600928044781,0.09120787521916611,0.0637645211786312,0.10589333034711902,0.026884666159527348,0.002659295098300307,0.03139632614024771,0.10195921444870887,0.08470123025367224,0.10782657106882437,-0.03609474686466317,0.02944157505545271,-0.06376630586424835,-0.05231149208775653,-0.03173377936416957,-0.03643397087105805
total km Z3-4,0.3313205016239679,-0.3147449911633683,0.5439938223434551,0.4859877414783291,0.7398932891044557,-0.13064980196329526,0.5214023753494444,1.0,0.9165835036930784,-0.05742962877869199,0.01852903933862718,-0.08975389687520674,0.014848734338148907,0.043845019860407786,0.015837450420443003,0.06976333097731124,0.08221920613543313,0.055258811113076095,0.08593577939671242,0.029849010862210167,-0.0072196585238632725,0.06542944749739497,0.2537000682834995,-0.24221389487075473,0.4281087022061971,0.3800555832275919,0.3781561738377705,-0.043674740890263006,0.29066713291960755,0.4624533495043043,0.43167577022042014,0.04295342754291629,0.0931327648785894,-0.08124091820752244,-0.020442245239279642,0.005528685784408567,-0.015358272680378114,0.03961429784768216,0.07631590171165646,0.06293750948465829,0.07561610445303688,0.017422141982298717,-0.010949461483797128,0.042465428371954134,0.21566869784463197,-0.20293620409383414,0.38546882523372117,0.3509051247308878,0.33342180288370105,-0.04837862789285313,0.2467949501360594,0.41977974674113677,0.40378401078472786,0.030231567255516848,0.07442846091708369,-0.0551517780682441,-0.029096143364577776,-0.0003173259414568969,-0.013729246818649328,0.029929711921527307,0.07039201963536766,0.05391407399545337,0.06933288092328825,0.015040533486799658,-0.007586810329896453,0.03707940314391106,0.003443587462394575,0.012254681729721854,-0.0037934804191635226,0.009439483290207135,0.019831270351739046,0.047514662132829434
max km Z3-4 one day,0.32709646438108064,-0.31883463734235173,0.5362114620152186,0.5104581199234566,0.7201116667106194,-0.060964133520577696,0.48265206160633856,0.9165835036930784,1.0,0.014760935991382942,0.09575656306798669,-0.09788560683798399,0.015579182225436878,0.054205829869127406,0.020357197791386672,0.08439576033128764,0.08716856833228623,0.05924162433937382,0.09165699005751317,0.04862104786569051,0.012145243796561865,0.07783737178772358,0.26804579269974266,-0.2613463376866627,0.44225616307474797,0.39049890397441095,0.38943958504545445,0.005471119893677439,0.30385948071533303,0.4396566077119707,0.42464851579490936,0.09025940305045281,0.14087840941413804,-0.08923096995583638,-0.01317403336840783,0.019995398204714774,-0.007842909784422843,0.05473212499999455,0.08015368633232567,0.06371681740771128,0.08096875422075539,0.036437110871024865,0.00711008865561761,0.057586037320473016,0.23320256068803322,-0.22045778301906602,0.40250635227796,0.3613291288230854,0.3486536382525199,-0.00335602195734616,0.2594479088873992,0.40363300641249017,0.40261851147216815,0.07561604177486363,0.12195735182741553,-0.0711599197307865,-0.02069710700000619,0.012615895708199562,-0.00437815887726266,0.0433675471918354,0.07510106227993779,0.05847191286362527,0.07428245660042333,0.032952767614179514,0.009706764616084256,0.05145065989674431,-0.002823851252770076,0.012298871800376822,-0.0006985400910229253,0.01056623786528081,0.018361323184307117,0.05619921942880377
total km Z5-T1-T2,0.35550075737513775,-0.35314617862347625,0.46387661497122407,0.39355497593072164,0.5911276644078529,0.7909700125108379,0.5504798518817703,-0.05742962877869199,0.014760935991382942,1.0,0.9261613198569517,-0.1285378128213071,0.0962726774143946,0.12139485670996401,0.06073820794695803,0.13354808951370167,0.038984059886604694,0.014673352695029597,0.04351967174220842,0.09435581251306618,0.07132625068912324,0.10273057960944457,0.31458885635574435,-0.30884482252867607,0.4082926531974939,0.3387509222934479,0.3883481945476124,0.4660906598988193,0.3857439667155236,0.07563037585541903,0.12483682962512696,0.5271192156307976,0.5129802387682091,-0.10987398522770417,0.07736629009894423,0.08390707862787762,0.04757153697872679,0.09505489971556375,0.03409510805540382,0.018005089906510393,0.035289812979634246,0.09353397186613079,0.0799655983267355,0.09304704270736365,0.2829520565937529,-0.2776794468452878,0.3756930495508697,0.31806684912918615,0.36753820122297937,0.4171801955047057,0.3566847198193651,0.08350965636872004,0.12483630669256011,0.49199471609993795,0.4922267792173177,-0.10111532759948294,0.057153596351137176,0.07718971705555211,0.053274059580030404,0.08716731638731168,0.029949328522694146,0.020465907192344448,0.028459361779466077,0.08871765851958431,0.08082722960907257,0.08401386212174247,-0.06460270601597719,0.023045111076258354,-0.04551715713876518,-0.034540028169021325,-0.02452557492292084,-0.026329938420504007
